,year,month,tmax,tmin,af,rain,sun,station
0,1941.0,1.0,5.8,2.1,2.0,74.7,58.0,aberporth
1,1941.0,2.0,5.8,2.1,2.0,69.1,58.0,aberporth
2,1941.0,3.0,5.8,2.1,2.0,76.2,58.0,aberporth
3,1941.0,4.0,5.8,2.1,2.0,33.7,58.0,aberporth
4,1941.0,5.0,5.8,2.1,2.0,51.3,58.0,aberporth
5,1941.0,6.0,5.8,2.1,2.0,25.7,58.0,aberporth
6,1941.0,7.0,5.8,2.1,2.0,53.9,58.0,aberporth
7,1941.0,8.0,5.8,2.1,2.0,91.8,58.0,aberporth
8,1941.0,9.0,5.8,2.1,2.0,25.5,58.0,aberporth
9,1941.0,10.0,5.8,2.1,2.0,106.2,58.0,aberporth
10,1941.0,11.0,5.8,2.1,2.0,92.3,58.0,aberporth
11,1941.0,12.0,5.8,2.1,2.0,86.5,58.0,aberporth
12,1942.0,1.0,5.8,2.1,2.0,114.0,58.0,aberporth
13,1942.0,2.0,4.2,-0.6,2.0,13.8,80.3,aberporth
14,1942.0,3.0,9.7,3.7,2.0,58.0,117.9,aberporth
15,1942.0,4.0,13.1,5.3,2.0,42.5,200.1,aberporth
16,1942.0,5.0,14.0,6.9,2.0,101.1,215.1,aberporth
17,1942.0,6.0,16.2,9.9,2.0,2.3,269.3,aberporth
18,1942.0,7.0,17.4,11.3,2.0,70.2,185.0,aberporth
19,1942.0,8.0,18.7,12.3,2.0,78.5,141.9,aberporth
20,1942.0,9.0,16.4,10.7,2.0,146.8,129.1,aberporth
21,1942.0,10.0,13.1,8.2,2.0,131.1,82.1,aberporth
22,1942.0,11.0,9.2,4.6,2.0,19.8,62.9,aberporth
23,1942.0,12.0,9.6,6.2,2.0,183.9,31.4,aberporth
24,1943.0,1.0,8.2,3.5,2.0,176.7,41.4,aberporth
25,1943.0,2.0,8.9,4.6,2.0,65.4,68.6,aberporth
26,1943.0,3.0,10.2,4.1,2.0,21.0,156.2,aberporth
27,1943.0,4.0,13.0,6.8,2.0,39.4,178.3,aberporth
28,1943.0,5.0,14.1,7.4,2.0,83.5,233.3,aberporth
29,1943.0,6.0,15.9,9.8,2.0,58.7,223.8,aberporth
30,1943.0,7.0,18.6,11.7,2.0,57.3,240.5,aberporth
31,1943.0,8.0,18.1,12.0,2.0,86.5,148.0,aberporth
32,1943.0,9.0,15.8,10.0,2.0,127.1,110.6,aberporth
33,1943.0,10.0,13.6,8.3,2.0,120.3,93.7,aberporth
34,1943.0,11.0,9.7,5.9,2.0,93.0,47.4,aberporth
35,1943.0,12.0,6.9,2.7,2.0,63.6,75.3,aberporth
36,1944.0,1.0,9.2,5.8,2.0,87.9,23.7,aberporth
37,1944.0,2.0,6.5,3.1,2.0,34.0,72.5,aberporth
38,1944.0,3.0,8.6,3.1,2.0,17.0,153.2,aberporth
39,1944.0,4.0,12.7,6.6,2.0,44.9,157.1,aberporth
40,1944.0,5.0,13.8,7.0,2.0,37.2,242.3,aberporth
41,1944.0,6.0,15.4,9.9,2.0,53.2,182.2,aberporth
42,1944.0,7.0,18.2,12.6,2.0,54.5,112.7,aberporth
43,1944.0,8.0,19.7,12.8,2.0,100.2,220.9,aberporth
44,1944.0,9.0,15.7,10.3,2.0,80.7,132.7,aberporth
45,1944.0,10.0,12.1,7.8,2.0,131.9,91.0,aberporth
46,1944.0,11.0,9.5,5.8,2.0,156.2,28.9,aberporth
47,1944.0,12.0,7.7,4.3,2.0,71.9,58.5,aberporth
48,1945.0,1.0,4.5,1.3,2.0,58.8,58.1,aberporth
49,1945.0,2.0,9.6,5.1,2.0,110.7,80.4,aberporth
50,1945.0,3.0,10.4,5.2,2.0,34.3,124.1,aberporth
51,1945.0,4.0,13.3,6.6,2.0,55.1,205.1,aberporth
